timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-08 10:38:00,214,149,309,92,169
2025-12-08 10:39:01,215,148,308,92,169
2025-12-08 10:40:01,216,148,308,92,169
2025-12-08 10:41:01,217,148,308,92,169
2025-12-08 10:42:02,218,148,309,92,169
2025-12-08 10:43:02,219,148,309,91,168
2025-12-08 10:44:02,220,148,309,92,169
2025-12-08 10:45:03,221,148,309,93,170
2025-12-08 10:46:03,222,148,309,93,170
2025-12-08 10:47:03,223,148,309,93,170
2025-12-08 10:48:04,224,148,309,93,170
2025-12-08 10:49:04,225,148,309,93,170
2025-12-08 10:50:04,226,146,308,93,170
2025-12-08 10:51:05,227,147,310,93,170
2025-12-08 10:52:05,228,145,308,93,170
2025-12-08 10:53:05,229,146,309,93,170
2025-12-08 10:54:06,230,148,309,93,170
2025-12-08 10:55:06,231,147,308,93,170
2025-12-08 10:56:06,232,146,308,93,170
2025-12-08 10:57:06,233,146,307,93,170
2025-12-08 10:58:07,234,147,309,93,170
2025-12-08 10:59:07,235,147,309,93,170
2025-12-08 11:00:07,236,147,309,92,169
2025-12-08 11:01:08,237,147,309,92,169
2025-12-08 11:02:08,238,148,309,92,169
2025-12-08 11:03:08,239,146,307,92,169
2025-12-08 11:04:08,240,148,308,92,169
timestamp,iteration,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-08 15:07:09,1,154,309,102,170
2025-12-08 15:08:10,2,153,309,102,170
2025-12-08 15:09:10,3,153,309,102,170
2025-12-08 15:10:10,4,153,309,102,170
2025-12-08 15:11:10,5,153,309,101,170
2025-12-08 15:12:11,6,153,309,101,170
2025-12-08 15:13:11,7,153,309,100,170
2025-12-08 15:14:11,8,153,309,100,170
2025-12-08 15:15:12,9,153,309,100,170
2025-12-08 15:16:12,10,153,309,100,170
2025-12-08 15:17:12,11,153,309,100,170
2025-12-08 15:18:13,12,154,309,100,170
2025-12-08 15:19:13,13,154,309,100,170
2025-12-08 15:20:13,14,154,309,100,170
2025-12-08 15:21:13,15,154,309,100,170
2025-12-08 15:22:14,16,154,307,100,170
2025-12-08 15:23:14,17,155,309,100,170
2025-12-08 15:24:14,18,154,308,101,170
2025-12-08 15:25:15,19,155,308,101,170
2025-12-08 15:26:15,20,155,308,101,170
2025-12-08 15:27:15,21,155,309,101,170
2025-12-08 15:28:15,22,155,308,101,170
2025-12-08 15:29:16,23,157,308,101,170
2025-12-08 15:30:16,24,158,308,101,170
2025-12-08 15:31:16,25,159,309,100,170
2025-12-08 15:32:16,26,159,309,100,170
2025-12-08 15:33:17,27,159,309,100,170
2025-12-08 15:34:17,28,159,309,100,170
2025-12-08 15:35:17,29,157,309,100,170
2025-12-08 15:36:18,30,157,309,100,170
2025-12-08 15:37:18,31,157,309,100,170
